"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"158","0.079556","0.022439","0.006329","0.005349","0.001238","0.018014","0.188668","0.000998","0.000171","0.007944","0.006011"
"159","0.079305","0.022333","0.006289","0.006553","0.002129","0.020198","0.188885","0.000464","0.000615","0.006487","0.005333"
"160","0.079057","0.022228","0.006250","0.006787","0.000911","0.020698","0.186587","0.003176","0.000977","0.004492","0.005389"
"161","0.078811","0.022125","0.006211","0.004425","0.000727","0.020186","0.188023","0.002991","0.001458","0.002902","0.006032"
"162","0.078567","0.022022","0.006173","0.003484","0.001643","0.019065","0.188017","0.002434","0.002144","0.003164","0.005855"
"163","0.078326","0.021921","0.006135","0.004559","0.000096","0.020459","0.189006","0.001861","0.003663","0.003138","0.003384"
"164","0.078087","0.021821","0.006098","0.003162","0.000413","0.019637","0.187741","0.002607","0.002378","0.002050","0.001582"
"165","0.077850","0.021721","0.006061","0.004641","0.000739","0.018653","0.189008","0.000256","0.001926","0.001410","0.002536"
"166","0.077615","0.021623","0.006024","0.002998","0.000471","0.019509","0.188384","0.000534","0.000371","0.000531","0.000559"
"167","0.077382","0.021526","0.005988","0.003649","0.000210","0.019669","0.188908","0.000780","0.000507","0.000808","0.001409"
"168","0.077152","0.021430","0.005952","0.001973","0.000324","0.021901","0.187068","0.002709","0.001286","0.000365","0.002782"
"169","0.076923","0.021335","0.005917","0.000296","0.001438","0.020101","0.188382","0.001313","0.002600","0.000798","0.002810"
"170","0.076697","0.021240","0.005882","0.002424","0.001219","0.020298","0.188072","0.000206","0.001258","0.000726","0.003161"
"171","0.076472","0.021147","0.005848","0.004761","0.000509","0.019242","0.188806","0.000489","0.001868","0.001775","0.001673"
"172","0.076249","0.021055","0.005814","0.003724","0.001037","0.020462","0.187295","0.002226","0.001963","0.000476","0.000369"
"173","0.076029","0.020964","0.005780","0.002553","0.000293","0.019822","0.188372","0.000812","0.000844","0.001721","0.000441"
"174","0.075810","0.020873","0.005747","0.003427","0.002162","0.019207","0.187472","0.000987","0.000657","0.003759","0.000083"
"175","0.075593","0.020784","0.005714","0.002478","0.000780","0.020697","0.187719","0.000395","0.001421","0.004597","0.000805"
"176","0.075378","0.020695","0.005682","0.003529","0.001363","0.020527","0.185692","0.001987","0.001759","0.003489","0.001384"
"177","0.075165","0.020607","0.005650","0.004684","0.000858","0.019502","0.186962","0.000567","0.000590","0.004786","0.002708"
"178","0.074953","0.020520","0.005618","0.004488","0.002586","0.017868","0.186804","0.000135","0.000503","0.003640","0.001258"
"179","0.074744","0.020434","0.005587","0.005701","0.000560","0.018539","0.187596","0.000238","0.002810","0.002153","0.000834"
"180","0.074536","0.020349","0.005556","0.003993","0.000388","0.020745","0.186293","0.001608","0.003417","0.003060","0.001214"
"181","0.074329","0.020265","0.005525","0.004080","0.002070","0.019357","0.187376","0.000153","0.001366","0.005427","0.000553"
"182","0.074125","0.020181","0.005495","0.003501","0.002573","0.019712","0.186655","0.000127","0.000086","0.004555","0.001029"
"183","0.073922","0.020098","0.005464","0.002835","0.001888","0.019144","0.187004","0.000105","0.002335","0.004744","0.002053"
"184","0.073721","0.020016","0.005435","0.003615","0.000801","0.020856","0.185191","0.001918","0.004154","0.002742","0.003631"
"185","0.073521","0.019935","0.005405","0.002749","0.001863","0.018821","0.186342","0.000988","0.004550","0.004837","0.002423"
"186","0.073324","0.019855","0.005376","0.003973","0.001106","0.018512","0.185914","0.000112","0.005800","0.006156","0.002884"
"187","0.073127","0.019775","0.005348","0.003843","0.000036","0.019762","0.186471","0.001328","0.004391","0.007938","0.003251"
"188","0.072932","0.019696","0.005319","0.004522","0.000416","0.020346","0.184954","0.000077","0.004029","0.007022","0.001362"
"189","0.072739","0.019618","0.005291","0.004321","0.000453","0.019413","0.185858","0.001465","0.004048","0.006835","0.000697"
"190","0.072548","0.019540","0.005263","0.004038","0.002425","0.018163","0.184894","0.000445","0.004283","0.006582","0.000480"
"191","0.072357","0.019464","0.005236","0.004510","0.000719","0.018997","0.184991","0.000298","0.005042","0.004708","0.000401"
"192","0.072169","0.019388","0.005208","0.003472","0.000727","0.018345","0.183017","0.002395","0.003491","0.003040","0.000830"
"193","0.071982","0.019312","0.005181","0.002589","0.000294","0.016969","0.184180","0.001919","0.002580","0.001598","0.002899"
"194","0.071796","0.019238","0.005155","0.001266","0.000783","0.017201","0.184185","0.001364","0.001792","0.002159","0.003244"
