"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"125","0.089443","0.026750","0.008000","0.029150","0.114505","0.017324","0.011197","0.018397","0.020539","0.219817","0.002386","0.010660","0.004895","0.002483"
"126","0.089087","0.026590","0.007937","0.030658","0.113621","0.014190","0.009126","0.019466","0.018295","0.219337","0.001044","0.006978","0.003539","0.003996"
"127","0.088736","0.026433","0.007874","0.030275","0.112981","0.014595","0.008711","0.020373","0.013889","0.219102","0.000892","0.007382","0.004794","0.004302"
"128","0.088388","0.026278","0.007813","0.032913","0.111998","0.013924","0.007564","0.019611","0.013248","0.218382","0.002808","0.008180","0.005787","0.004394"
"129","0.088045","0.026125","0.007752","0.033668","0.111190","0.015331","0.006825","0.016522","0.009832","0.218623","0.001423","0.008644","0.003781","0.003719"
"130","0.087706","0.025974","0.007692","0.032576","0.110614","0.017072","0.005613","0.016501","0.010629","0.218376","0.002855","0.003771","0.001053","0.003734"
"131","0.087370","0.025825","0.007634","0.034460","0.109685","0.016047","0.007516","0.018156","0.011305","0.218372","0.003579","0.005552","0.000215","0.003919"
"132","0.087039","0.025678","0.007576","0.034505","0.108940","0.017380","0.006244","0.015284","0.012402","0.217881","0.004839","0.007272","0.000806","0.003965"
"133","0.086711","0.025534","0.007519","0.032746","0.107998","0.018351","0.004675","0.015735","0.012202","0.217997","0.001968","0.008184","0.002612","0.002349"
"134","0.086387","0.025391","0.007463","0.033920","0.107481","0.018143","0.007948","0.014922","0.010402","0.217626","0.001648","0.008587","0.002642","0.000592"
"135","0.086066","0.025249","0.007407","0.033296","0.106619","0.015704","0.007952","0.016153","0.011153","0.217499","0.002518","0.008198","0.001643","0.000629"
"136","0.085749","0.025110","0.007353","0.035555","0.105935","0.016140","0.006117","0.010982","0.009169","0.216886","0.004309","0.009225","0.002904","0.000153"
"137","0.085436","0.024972","0.007299","0.036023","0.105007","0.016656","0.005446","0.010110","0.010549","0.217063","0.003451","0.007153","0.003029","0.001214"
"138","0.085126","0.024837","0.007246","0.034734","0.104193","0.014567","0.005550","0.011450","0.011779","0.216753","0.003384","0.006217","0.004315","0.001929"
"139","0.084819","0.024702","0.007194","0.036287","0.103547","0.015593","0.004056","0.012083","0.011459","0.216685","0.002671","0.006852","0.005990","0.002920"
"140","0.084515","0.024570","0.007143","0.036089","0.102647","0.015103","0.004459","0.012036","0.008147","0.216132","0.003524","0.008382","0.002361","0.002298"
"141","0.084215","0.024439","0.007092","0.034172","0.101870","0.016409","0.003341","0.009779","0.007790","0.216186","0.000043","0.007268","0.002552","0.002887"
"142","0.083918","0.024310","0.007042","0.035058","0.100971","0.012458","0.005244","0.010256","0.007897","0.215754","0.001219","0.005029","0.003693","0.005308"
"143","0.083624","0.024182","0.006993","0.034229","0.100101","0.012098","0.003583","0.010646","0.008291","0.215565","0.002624","0.006735","0.002675","0.007569"
"144","0.083333","0.024056","0.006944","0.036159","0.099351","0.010682","0.003421","0.008644","0.008072","0.214891","0.004213","0.005519","0.003514","0.005789"
"145","0.083045","0.023932","0.006897","0.036381","0.098444","0.011555","0.004156","0.009907","0.008765","0.215099","0.003086","0.006339","0.003547","0.005235"
"146","0.082761","0.023809","0.006849","0.034924","0.097597","0.012357","0.002856","0.009468","0.006958","0.214819","0.002283","0.007925","0.005201","0.004377"
"147","0.082479","0.023687","0.006803","0.036190","0.096810","0.010598","0.004427","0.010782","0.005891","0.214782","0.001729","0.004119","0.003882","0.005552"
"148","0.082199","0.023567","0.006757","0.035783","0.095909","0.011375","0.005132","0.007133","0.007442","0.214259","0.002430","0.002828","0.001417","0.004100"
"149","0.081923","0.023448","0.006711","0.038056","0.095077","0.011731","0.003929","0.006841","0.008537","0.214343","0.001178","0.004345","0.001486","0.003001"
"150","0.081650","0.023331","0.006667","0.038662","0.094197","0.010674","0.004748","0.005474","0.009834","0.213940","0.000250","0.003798","0.000488","0.002102"
"151","0.081379","0.023215","0.006623","0.037629","0.093303","0.007530","0.003804","0.006222","0.007314","0.213781","0.001063","0.000862","0.002058","0.000980"
"152","0.081111","0.023100","0.006579","0.039243","0.092477","0.007378","0.005617","0.007812","0.006121","0.213137","0.002161","0.001692","0.002617","0.000515"
"153","0.080845","0.022987","0.006536","0.039222","0.091573","0.008781","0.004137","0.006203","0.007450","0.213283","0.000534","0.001010","0.004123","0.002574"
"154","0.080582","0.022875","0.006494","0.037594","0.090681","0.005912","0.007139","0.007118","0.007411","0.212941","0.000327","0.002390","0.005416","0.002971"
"155","0.080322","0.022764","0.006452","0.038580","0.089878","0.006249","0.006665","0.007119","0.005057","0.212843","0.000703","0.003067","0.006358","0.003819"
"156","0.080064","0.022655","0.006410","0.037963","0.088962","0.005135","0.005027","0.008608","0.006050","0.212259","0.000691","0.002533","0.003915","0.003095"
"157","0.079809","0.022546","0.006369","0.039924","0.088064","0.006038","0.004934","0.005342","0.007598","0.212283","0.000818","0.003234","0.004079","0.001514"
"158","0.079556","0.022439","0.006329","0.040286","0.087187","0.007486","0.004044","0.005342","0.004232","0.211821","0.000479","0.004322","0.004239","0.000267"
"159","0.079305","0.022333","0.006289","0.039075","0.086257","0.006419","0.003359","0.006755","0.004792","0.211602","0.000863","0.004423","0.002604","0.001117"
"160","0.079057","0.022228","0.006250","0.040411","0.085331","0.007598","0.004480","0.008011","0.005090","0.210898","0.002396","0.005832","0.002092","0.004735"
"161","0.078811","0.022125","0.006211","0.040178","0.084372","0.007929","0.003385","0.008651","0.006580","0.211122","0.001968","0.007123","0.002873","0.007518"
"162","0.078567","0.022022","0.006173","0.038401","0.083551","0.009370","0.002223","0.007387","0.007332","0.210858","0.001920","0.006649","0.001251","0.006305"
"163","0.078326","0.021921","0.006135","0.039141","0.082594","0.006899","0.000836","0.008269","0.008404","0.210836","0.001897","0.006252","0.002575","0.005748"
"164","0.078087","0.021821","0.006098","0.038341","0.081610","0.007106","0.003272","0.009234","0.009387","0.210328","0.002242","0.006209","0.001516","0.004466"
"165","0.077850","0.021721","0.006061","0.040025","0.080714","0.006844","0.001846","0.008414","0.009604","0.210428","0.001583","0.006733","0.002217","0.003480"
"166","0.077615","0.021623","0.006024","0.040172","0.079725","0.008136","0.001555","0.009788","0.009277","0.210041","0.000855","0.008115","0.002428","0.003479"
"167","0.077382","0.021526","0.005988","0.038805","0.079039","0.009131","0.004830","0.009943","0.010248","0.209898","0.000113","0.009276","0.003246","0.002907"
"168","0.077152","0.021430","0.005952","0.039895","0.078089","0.008335","0.004828","0.011230","0.006659","0.209268","0.001003","0.006766","0.004575","0.001554"
"169","0.076923","0.021335","0.005917","0.039476","0.077064","0.009325","0.003825","0.008715","0.007187","0.209429","0.000851","0.007675","0.004260","0.001663"
"170","0.076697","0.021240","0.005882","0.041480","0.076229","0.010389","0.003970","0.008871","0.007214","0.209103","0.000601","0.005802","0.001595","0.002364"
"171","0.076472","0.021147","0.005848","0.041979","0.075231","0.009983","0.003274","0.008445","0.008002","0.209020","0.000598","0.007211","0.000077","0.002259"
"172","0.076249","0.021055","0.005814","0.040995","0.074302","0.008177","0.004672","0.009610","0.008359","0.208450","0.001770","0.008220","0.002387","0.003106"
"173","0.076029","0.020964","0.005780","0.042409","0.073244","0.008571","0.003408","0.010661","0.009078","0.208489","0.000038","0.008347","0.001933","0.001833"
"174","0.075810","0.020873","0.005747","0.042342","0.072507","0.009914","0.005388","0.009932","0.010244","0.208041","0.000122","0.008620","0.000680","0.002316"
"175","0.075593","0.020784","0.005714","0.040817","0.071510","0.008123","0.005740","0.010965","0.010971","0.207837","0.000942","0.005765","0.000134","0.003981"
