"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"185","0.073521","0.019935","0.005405","0.040541","0.002703","0.013513","0.013513","0.008108","0.018919"
"186","0.073324","0.019855","0.005376","0.043011","0.005377","0.016129","0.016129","0.005376","0.016129"
"187","0.073127","0.019775","0.005348","0.045455","0.002674","0.018717","0.013369","0.002674","0.013369"
"188","0.072932","0.019696","0.005319","0.042553","0.000000","0.015957","0.015957","0.005319","0.010638"
"189","0.072739","0.019618","0.005291","0.039683","0.002646","0.018518","0.013227","0.002645","0.007936"
"190","0.072548","0.019540","0.005263","0.036842","0.005263","0.015789","0.015789","0.005263","0.010526"
"191","0.072357","0.019464","0.005236","0.039267","0.002618","0.018325","0.013089","0.002618","0.007853"
"192","0.072169","0.019388","0.005208","0.036458","0.000000","0.015625","0.015625","0.005208","0.005208"
"193","0.071982","0.019312","0.005181","0.038860","0.002591","0.018135","0.012953","0.002591","0.002591"
"194","0.071796","0.019238","0.005155","0.036082","0.005155","0.020618","0.010309","0.000000","0.005154"
"195","0.071611","0.019163","0.005128","0.033333","0.002564","0.017949","0.012820","0.002564","0.002564"
"196","0.071429","0.019090","0.005102","0.035714","0.000000","0.020408","0.010204","0.000000","0.000000"
"197","0.071247","0.019017","0.005076","0.038071","0.002538","0.022843","0.012690","0.002538","0.002538"
"198","0.071067","0.018945","0.005051","0.040404","0.000000","0.025252","0.010101","0.005050","0.000000"
"199","0.070888","0.018874","0.005025","0.037688","0.002512","0.022613","0.007538","0.007538","0.002513"
"200","0.070711","0.018803","0.005000","0.040000","0.000000","0.020000","0.005000","0.010000","0.005000"
"201","0.070535","0.018733","0.004975","0.042288","0.002487","0.022388","0.007463","0.007463","0.002488"
"202","0.070360","0.018663","0.004950","0.039604","0.004950","0.024752","0.004950","0.004950","0.004951"
"203","0.070186","0.018594","0.004926","0.036946","0.007389","0.027094","0.002463","0.007389","0.002463"
"204","0.070014","0.018526","0.004902","0.034314","0.009804","0.024510","0.000000","0.004902","0.000000"
"205","0.069843","0.018458","0.004878","0.031707","0.007317","0.021951","0.002439","0.007317","0.002439"
"206","0.069673","0.018391","0.004854","0.029126","0.004854","0.019417","0.004854","0.009709","0.004855"
"207","0.069505","0.018324","0.004831","0.031401","0.002415","0.021739","0.002415","0.012077","0.007247"
"208","0.069338","0.018258","0.004808","0.028846","0.004807","0.019231","0.000000","0.014423","0.009616"
"209","0.069171","0.018192","0.004785","0.026316","0.007177","0.016746","0.002393","0.011962","0.007177"
"210","0.069007","0.018127","0.004762","0.023809","0.004762","0.019048","0.000000","0.014286","0.009524"
"211","0.068843","0.018063","0.004739","0.026066","0.002369","0.016588","0.002369","0.011848","0.007109"
"212","0.068680","0.017999","0.004717","0.028302","0.004717","0.018868","0.004717","0.014151","0.009434"
"213","0.068519","0.017936","0.004695","0.030516","0.007042","0.016432","0.002347","0.016432","0.007042"
"214","0.068359","0.017873","0.004673","0.028037","0.004673","0.018692","0.000000","0.014019","0.009346"
"215","0.068199","0.017810","0.004651","0.025581","0.002325","0.016279","0.002325","0.011628","0.011628"
"216","0.068041","0.017748","0.004630","0.027778","0.004629","0.013889","0.000000","0.009259","0.009259"
"217","0.067884","0.017687","0.004608","0.029954","0.002304","0.011521","0.002304","0.011521","0.006913"
"218","0.067729","0.017626","0.004587","0.032110","0.004587","0.013761","0.000000","0.013761","0.004587"
"219","0.067574","0.017566","0.004566","0.029680","0.002283","0.015982","0.002283","0.011415","0.006850"
"220","0.067420","0.017506","0.004545","0.031818","0.004545","0.013636","0.000000","0.013636","0.009091"
"221","0.067267","0.017446","0.004525","0.033937","0.002262","0.011312","0.002263","0.011312","0.011312"
"222","0.067116","0.017387","0.004505","0.036036","0.000000","0.009009","0.004505","0.009009","0.013514"
"223","0.066965","0.017329","0.004484","0.038117","0.002242","0.011211","0.002242","0.011211","0.011211"
"224","0.066815","0.017271","0.004464","0.040178","0.004464","0.013393","0.000000","0.008928","0.013393"
"225","0.066667","0.017213","0.004444","0.042222","0.006666","0.011111","0.002222","0.006667","0.015556"
"226","0.066519","0.017156","0.004425","0.044248","0.004424","0.013274","0.000000","0.008850","0.013275"
"227","0.066372","0.017099","0.004405","0.041850","0.002202","0.011013","0.002203","0.006608","0.015419"
"228","0.066227","0.017043","0.004386","0.039474","0.004386","0.013158","0.004386","0.008772","0.013158"
"229","0.066082","0.016987","0.004367","0.037118","0.006550","0.010917","0.006550","0.006550","0.015284"
"230","0.065938","0.016932","0.004348","0.039130","0.004347","0.013043","0.008696","0.008696","0.013044"
"231","0.065795","0.016877","0.004329","0.036796","0.002164","0.015151","0.010823","0.006493","0.015152"
"232","0.065653","0.016822","0.004310","0.034483","0.004310","0.012931","0.008621","0.008621","0.012931"
"233","0.065512","0.016768","0.004292","0.036481","0.002146","0.010729","0.006438","0.010730","0.010730"
"234","0.065372","0.016714","0.004274","0.038461","0.004273","0.012820","0.004274","0.008547","0.008547"
"235","0.065233","0.016661","0.004255","0.036170","0.002127","0.014893","0.006383","0.010638","0.010638"
"236","0.065094","0.016608","0.004237","0.033898","0.004237","0.012712","0.008475","0.012712","0.012712"
