"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","1.000000","1.000000","1.000000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000"
"2","0.707107","0.594604","0.500000","0.500000","0.500000","0.500000","0.000000","0.000000","0.500000"
"3","0.577350","0.438691","0.333333","0.166667","0.500000","0.500000","0.166667","0.166667","0.166667"
"4","0.500000","0.353553","0.250000","0.250000","0.500000","0.250000","0.000000","0.000000","0.000000"
"5","0.447214","0.299070","0.200000","0.100000","0.300000","0.100000","0.100000","0.100000","0.100000"
"6","0.408248","0.260847","0.166667","0.166667","0.333333","0.166667","0.000000","0.000000","0.000000"
"7","0.377964","0.232368","0.142857","0.214286","0.214286","0.214286","0.071429","0.071429","0.071429"
"8","0.353553","0.210224","0.125000","0.250000","0.125000","0.125000","0.000000","0.125000","0.125000"
"9","0.333333","0.192450","0.111111","0.166667","0.166667","0.055556","0.055556","0.055556","0.055556"
"10","0.316228","0.177828","0.100000","0.200000","0.200000","0.100000","0.100000","0.100000","0.000000"
"11","0.301511","0.165560","0.090909","0.136364","0.227273","0.136364","0.045455","0.136364","0.045455"
"12","0.288675","0.155101","0.083333","0.166667","0.166667","0.083333","0.083333","0.083333","0.000000"
"13","0.277350","0.146064","0.076923","0.192308","0.192308","0.038462","0.038462","0.038462","0.038462"
"14","0.267261","0.138167","0.071429","0.214286","0.142857","0.071429","0.071429","0.071429","0.071429"
"15","0.258199","0.131199","0.066667","0.233333","0.166667","0.033333","0.033333","0.033333","0.033333"
"16","0.250000","0.125000","0.062500","0.250000","0.125000","0.062500","0.000000","0.000000","0.062500"
"17","0.242536","0.119444","0.058824","0.205882","0.088235","0.029412","0.029412","0.029412","0.029412"
"18","0.235702","0.114432","0.055556","0.222222","0.111111","0.055556","0.000000","0.000000","0.055556"
"19","0.229416","0.109884","0.052632","0.236842","0.131579","0.026316","0.026316","0.026316","0.026316"
"20","0.223607","0.105737","0.050000","0.200000","0.100000","0.050000","0.000000","0.050000","0.050000"
"21","0.218218","0.101938","0.047619","0.214286","0.071429","0.023810","0.023810","0.023809","0.023810"
"22","0.213201","0.098443","0.045455","0.181818","0.090909","0.045455","0.000000","0.045455","0.045455"
"23","0.208514","0.095215","0.043478","0.152174","0.108696","0.065217","0.021739","0.021739","0.021739"
"24","0.204124","0.092223","0.041667","0.166667","0.083333","0.041667","0.000000","0.000000","0.000000"
"25","0.200000","0.089443","0.040000","0.180000","0.100000","0.020000","0.020000","0.020000","0.020000"
"26","0.196116","0.086850","0.038462","0.192308","0.076923","0.038462","0.038462","0.038462","0.038462"
"27","0.192450","0.084426","0.037037","0.203704","0.092593","0.055556","0.018519","0.055556","0.018519"
"28","0.188982","0.082155","0.035714","0.214286","0.071429","0.035714","0.000000","0.071429","0.000000"
"29","0.185695","0.080021","0.034483","0.189655","0.086207","0.017241","0.017241","0.086207","0.017241"
"30","0.182574","0.078012","0.033333","0.200000","0.100000","0.033333","0.033333","0.066667","0.033333"
"31","0.179605","0.076116","0.032258","0.209677","0.112903","0.016129","0.016129","0.048387","0.016129"
"32","0.176777","0.074325","0.031250","0.187500","0.093750","0.031250","0.031250","0.062500","0.031250"
"33","0.174078","0.072630","0.030303","0.166667","0.075758","0.015152","0.045455","0.045455","0.015152"
"34","0.171499","0.071022","0.029412","0.176471","0.088235","0.029412","0.058824","0.029412","0.000000"
"35","0.169031","0.069494","0.028571","0.157143","0.071429","0.042857","0.071429","0.042857","0.014286"
"36","0.166667","0.068041","0.027778","0.166667","0.055556","0.055556","0.055556","0.027778","0.027778"
"37","0.164399","0.066657","0.027027","0.148649","0.067568","0.040541","0.040541","0.013514","0.040541"
"38","0.162221","0.065337","0.026316","0.131579","0.078947","0.026316","0.052632","0.000000","0.026316"
"39","0.160128","0.064077","0.025641","0.115385","0.089744","0.038462","0.064103","0.012821","0.012821"
"40","0.158114","0.062872","0.025000","0.100000","0.075000","0.025000","0.075000","0.025000","0.000000"
"41","0.156174","0.061718","0.024390","0.109756","0.085366","0.036585","0.060976","0.036585","0.012195"
"42","0.154303","0.060613","0.023810","0.119048","0.071429","0.023810","0.047619","0.023810","0.000000"
"43","0.152499","0.059552","0.023256","0.127907","0.081395","0.011628","0.034884","0.034884","0.011628"
"44","0.150756","0.058534","0.022727","0.136364","0.068182","0.000000","0.022727","0.022727","0.000000"
"45","0.149071","0.057556","0.022222","0.144444","0.055556","0.011111","0.011111","0.033333","0.011111"
"46","0.147442","0.056615","0.021739","0.152174","0.065217","0.021739","0.000000","0.021739","0.021739"
"47","0.145865","0.055709","0.021277","0.138298","0.074468","0.010638","0.010638","0.010638","0.031915"
"48","0.144338","0.054836","0.020833","0.145833","0.062500","0.000000","0.020833","0.020833","0.041667"
"49","0.142857","0.053995","0.020408","0.132653","0.051021","0.010204","0.030612","0.030612","0.030612"
"50","0.141421","0.053183","0.020000","0.140000","0.060000","0.000000","0.040000","0.040000","0.020000"
"51","0.140028","0.052399","0.019608","0.127451","0.049020","0.009804","0.029412","0.049020","0.009804"
"52","0.138675","0.051641","0.019231","0.134615","0.038462","0.000000","0.019231","0.038462","0.000000"
"53","0.137361","0.050909","0.018868","0.141509","0.047170","0.009434","0.028302","0.047170","0.009434"
"54","0.136083","0.050200","0.018519","0.129630","0.037037","0.018519","0.018519","0.037037","0.018519"
"55","0.134840","0.049514","0.018182","0.118182","0.045455","0.009091","0.009091","0.045455","0.009091"
"56","0.133631","0.048849","0.017857","0.125000","0.035714","0.017857","0.017857","0.053571","0.017857"
"57","0.132453","0.048205","0.017544","0.114035","0.026316","0.008772","0.008772","0.061403","0.008772"
"58","0.131306","0.047580","0.017241","0.120690","0.017241","0.017241","0.000000","0.051724","0.000000"
"59","0.130189","0.046974","0.016949","0.110170","0.025424","0.008475","0.008475","0.059322","0.008475"
