"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"48","0.144338","0.054836","0.020833","0.318310","0.318310","0.015023","0.005810","0.015023","0.089143","0.015024","0.015023","0.035857","0.005810","0.015024"
"49","0.142857","0.053995","0.020408","0.318310","0.318310","0.008221","0.012187","0.028629","0.093820","0.028629","0.008221","0.028629","0.008221","0.028629"
"50","0.141421","0.053183","0.020000","0.318310","0.318310","0.001690","0.018310","0.041690","0.098310","0.021690","0.001690","0.021690","0.001690","0.021690"
"51","0.140028","0.052399","0.019608","0.318310","0.318310","0.015023","0.024192","0.034631","0.102624","0.034631","0.004584","0.015023","0.004584","0.015024"
"52","0.138675","0.051641","0.019231","0.318310","0.318310","0.008613","0.029848","0.027844","0.106771","0.027844","0.010618","0.008613","0.010618","0.027844"
"53","0.137361","0.050909","0.018868","0.318310","0.318310","0.002445","0.035291","0.040181","0.110763","0.040181","0.016423","0.002445","0.002445","0.021313"
"54","0.136083","0.050200","0.018519","0.318310","0.318310","0.003495","0.040532","0.052061","0.096088","0.033542","0.022014","0.003495","0.003495","0.033542"
"55","0.134840","0.049514","0.018182","0.318310","0.318310","0.008963","0.045583","0.045327","0.081946","0.027145","0.009219","0.008963","0.009219","0.027145"
"56","0.133631","0.048849","0.017857","0.318310","0.318310","0.020976","0.032596","0.038833","0.086167","0.020976","0.003119","0.003119","0.003119","0.020976"
"57","0.132453","0.048205","0.017544","0.318310","0.318310","0.015023","0.037608","0.032567","0.090240","0.032567","0.002520","0.002520","0.002520","0.015024"
"58","0.131306","0.047580","0.017241","0.318310","0.318310","0.009276","0.042448","0.043759","0.094172","0.026518","0.007965","0.007965","0.007965","0.009276"
"59","0.130189","0.046974","0.016949","0.318310","0.318310","0.020673","0.030174","0.037622","0.097971","0.020673","0.013225","0.003724","0.003724","0.020673"
"60","0.129099","0.046386","0.016667","0.318310","0.318310","0.031690","0.018310","0.031690","0.101643","0.015024","0.001643","0.015023","0.015023","0.031690"
